currentTime,lDriveMotorEnc,rDriveMotorEnc,lToolMotorEnc,rToolMotorEnc,gyroAngValue,lDriveMotorPow,rDriveMotorPow,lToolMotorPow,rToolMotorPow,lDriveMotorCor,rDriveMotorCor,lDriveSpeed,rDriveSpeed
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714135280.9580579,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
